Var1,alert,orient,control
Rlingual_1,-1.557416,2.862632,2.435386
Rmiddletemporal_1,-0.1988716,3.050379,3.638128
Rparahippocampal_1,-0.9697287,-0.5156686,-0.2701982
Rparacentral_1,-1.190839,-0.5637742,-0.9675189
Rparsopercularis_1,2.544309,1.959403,2.771631
Rparsorbitalis_1,-1.30395,0.2602174,1.962891
Rpericalcarine_1,3.761362,3.690283,3.164727
Rpostcentral_1,-1.34833,-0.01600108,-0.4309385
Rposteriorcingulate_1,0.3088566,-0.0643878,0.09288409
Rrostralanteriorcingulate_1,0.0753396,-0.7981941,-0.4023054
Rrostralmiddlefrontal_1,0.8398545,0.4689232,1.517663
Rsuperiorfrontal_1,-1.362223,-1.163875,-0.6668248
Rsuperiorparietal_1,2.853989,3.087949,2.486723
Rsupramarginal_1,4.651388,3.411039,3.474672
Rfrontalpole_1,-0.6354937,-0.1892431,0.256212
Rtemporalpole_1,-0.8331276,-0.2837266,0.3286503
Rinsula_1,-0.6721469,-0.4618002,-0.5000389
Rcaudalmiddlefrontal_2,0.5510338,1.962569,3.633478
Rcuneus_2,-0.9952424,0.6667972,0.9872929
Rfusiform_2,2.505568,1.967999,1.673086
Rfusiform_4,-0.4651742,0.1447339,0.806439
Rinferiorparietal_2,-0.1055324,1.878578,3.681802
Rinferiorparietal_3,0.2646424,1.324672,2.311636
Rinferiorparietal_6,3.192883,3.950183,4.32499
Rinferiortemporal_2,-0.5146951,0.3943937,0.5666618
Rinferiortemporal_4,3.015993,2.679504,2.724838
Rlateraloccipital_4,0.5718732,0.6358888,1.173209
Rlateralorbitofrontal_2,1.173078,1.228693,1.464202
Rlateralorbitofrontal_4,1.207358,0.4581026,1.174106
Rlingual_2,0.5635833,2.144409,1.983534
Rlingual_3,1.002963,2.107152,1.930084
Rmedialorbitofrontal_2,-1.504905,-0.8004261,-0.3404575
Rmiddletemporal_2,-0.3732083,1.319986,3.184911
Rmiddletemporal_4,-1.855645,-0.7652185,0.2322528
Rparacentral_2,-0.7916043,-0.2837051,-0.7688313
Rparacentral_3,-0.2657947,0.368249,-0.03128045
Rparsopercularis_2,2.232084,1.950253,3.053304
Rparstriangularis_2,-0.5857916,0.9299253,2.024993
Rpostcentral_2,-0.7006713,0.4930127,0.5775077
Rpostcentral_3,0.5904198,0.6104832,0.3763098
Rpostcentral_4,0.9504077,1.383554,0.6574801
Rpostcentral_5,-0.7360081,-0.314728,-0.8692839
Rprecentral_3,1.225036,0.6563469,0.8415436
Rprecentral_4,2.409691,1.488569,2.000692
Rprecentral_5,0.3344878,-0.009765438,-0.2257222
Rprecentral_6,1.464725,1.16826,0.7376672
Rprecuneus_2,-2.74692,-1.542136,-1.024185
Rprecuneus_4,2.529498,2.69684,3.537689
Rprecuneus_5,0.3382801,1.276656,1.314321
Rrostralmiddlefrontal_2,1.546468,2.438972,2.890272
Rrostralmiddlefrontal_3,2.866932,1.899432,2.128114
Rrostralmiddlefrontal_4,1.602951,0.7663537,0.6942722
Rrostralmiddlefrontal_5,-0.4874086,-0.3279299,-0.01933228
Rrostralmiddlefrontal_6,1.243854,0.5794585,1.067432
Rsuperiorfrontal_3,0.6167865,0.3297113,1.195582
Rsuperiorfrontal_4,-1.619137,-0.9305151,0.05387593
Rsuperiorfrontal_5,2.936367,1.217797,1.99096
Rsuperiorfrontal_6,1.884482,0.7611716,1.170854
Rsuperiorfrontal_7,2.518002,2.080092,2.45753
Rsuperiorfrontal_8,2.449126,1.879176,2.720825
Rsuperiorparietal_3,3.65448,2.884024,3.130003
Rsuperiorparietal_4,5.876422,4.746575,4.700692
Rsuperiorparietal_5,4.25315,3.628301,3.806098
Rsuperiorparietal_6,3.410971,3.428438,3.418729
Rsuperiortemporal_2,-0.4051431,0.2325899,0.4171596
Rsuperiortemporal_3,-0.1334001,-0.7258243,-0.264886
Rsuperiortemporal_4,-0.4304923,0.428655,0.7205129
Rinsula_2,-0.3114375,0.7130363,0.7742506
Rinsula_3,2.84785,1.733939,1.99292
