Var1,alert,orient,control
Linsula_2,-0.3316643,-0.4909194,-0.7094127
Linsula_3,-0.6995292,-0.4150945,1.082944
Linsula_4,0.2345208,-0.5177422,2.639615
Rbankssts_1,1.362878,1.602657,-0.7166063
Rcaudalanteriorcingulate_1,0.07016705,0.3820618,1.513488
Rcaudalmiddlefrontal_1,2.046065,2.512964,2.63372
Rcuneus_1,0.1240033,-0.1850389,1.135736
Rentorhinal_1,0.5365652,-0.1287228,-0.3784195
Rfusiform_1,4.073686,4.369614,-0.9499578
Rinferiorparietal_1,0.2245298,1.226191,0.3857224
Rinferiortemporal_1,-0.5484896,0.1189866,-0.9506157
Risthmuscingulate_1,0.1318425,0.5038955,-1.732518
Rlateraloccipital_1,1.789555,2.88777,-1.263849
Rlateralorbitofrontal_1,-0.8026972,-0.6077181,-0.4639989
Rlingual_1,2.130793,2.493991,-0.9690491
Rmedialorbitofrontal_1,-0.2311487,0.02341014,-2.277006
Rmiddletemporal_1,2.290972,2.299716,0.01643009
Rparahippocampal_1,0.3382316,0.9858359,-0.9669439
Rparacentral_1,0.6633925,0.5771887,-1.289138
Rparsopercularis_1,0.2686644,0.3384364,0.7780986
Rparsorbitalis_1,-0.5323306,-0.3345895,-2.563708
Rparstriangularis_1,-0.5161345,-0.2531437,1.420717
Rpericalcarine_1,1.082635,0.7248045,3.664108
Rpostcentral_1,-0.3107732,-0.03411165,-1.174479
Rposteriorcingulate_1,0.3714326,0.2573016,-0.093825
Rprecentral_1,0.168558,0.4387406,-0.1580362
Rprecuneus_1,0.5258933,0.2837491,0.743897
Rrostralanteriorcingulate_1,-0.4726484,-0.1827848,-1.128209
Rrostralmiddlefrontal_1,-0.1619996,0.4092796,-0.3874121
Rsuperiorfrontal_1,-0.6439397,0.2581985,-1.852513
Rsuperiorparietal_1,2.213576,1.995368,4.024776
Rsuperiortemporal_1,-0.09600827,0.4303406,-0.5123397
Rsupramarginal_1,1.428088,2.019971,3.412202
Rfrontalpole_1,0.4221315,0.8173785,-0.1093911
Rtemporalpole_1,-0.1822008,-0.2134442,-1.256935
Rtransversetemporal_1,-0.0208987,-0.08201822,0.6859974
Rinsula_1,-0.05525976,-0.05798713,-0.5885073
Rcaudalmiddlefrontal_2,0.6622155,1.055452,-0.1899354
Rcaudalmiddlefrontal_3,0.2321026,1.242877,-1.85476
Rcuneus_2,-0.7794471,0.05290298,-0.5721641
Rfusiform_2,3.458628,3.690231,2.643066
Rfusiform_3,1.720919,1.628729,-0.2035099
Rfusiform_4,0.09734792,0.5644554,-0.5559096
Rinferiorparietal_2,0.4552418,1.138747,-1.870109
Rinferiorparietal_3,1.001406,1.697405,-0.9922099
Rinferiorparietal_4,0.7551904,1.509606,-2.283066
Rinferiorparietal_5,2.134762,2.779264,-0.0148463
Rinferiorparietal_6,3.809,3.820899,3.055353
Rinferiortemporal_2,-0.195203,0.4701865,-0.542064
Rinferiortemporal_3,0.2269885,0.4384339,-0.4370756
Rinferiortemporal_4,3.318872,2.914553,2.96226
Rlateraloccipital_2,5.134031,5.619862,0.1012125
Rlateraloccipital_3,3.316483,4.326119,-0.4827085
Rlateraloccipital_4,5.065109,5.421394,0.7860208
Rlateraloccipital_5,5.406083,5.365049,3.862876
Rlateralorbitofrontal_2,-0.4252993,-0.3510697,0.3778858
Rlateralorbitofrontal_3,-0.4158846,-0.6162278,-1.888334
Rlateralorbitofrontal_4,-0.2750499,-0.6934372,0.6382679
Rlingual_2,0.3489959,0.5092217,1.071187
Rlingual_3,0.9959585,1.054478,1.319121
Rmedialorbitofrontal_2,-0.01379091,-0.1088605,-2.074929
Rmedialorbitofrontal_3,-0.5043986,-0.3017952,-0.9370802
Rmiddletemporal_2,-0.03746073,0.4018457,-1.72988
Rmiddletemporal_3,-0.5079036,0.6787185,-1.795047
Rmiddletemporal_4,-0.2297012,0.3562098,-2.309084
Rparacentral_2,0.6964983,0.7569001,-0.3332796
Rparacentral_3,0.7495739,0.9062787,-0.1203851
Rparsopercularis_2,0.24819,0.3262563,0.2838738
Rparstriangularis_2,-0.5700338,-0.5442818,-2.313222
Rpericalcarine_2,1.947321,2.415906,2.003851
Rpostcentral_2,0.6966692,0.7508914,-0.2611585
Rpostcentral_3,0.6521356,0.7532593,0.8875359
Rpostcentral_4,1.229734,1.005381,1.730151
Rpostcentral_5,0.3560386,0.3782007,-0.2886105
Rposteriorcingulate_2,0.05364692,0.3032449,0.0004354627
Rprecentral_2,0.9854331,1.314198,1.818892
Rprecentral_3,1.921546,1.641461,1.378479
Rprecentral_4,2.046878,2.369273,2.152975
Rprecentral_5,1.014634,0.9200842,0.6288589
Rprecentral_6,1.62353,1.525469,1.722181
Rprecuneus_2,-0.01293611,0.6599088,-3.173575
Rprecuneus_3,0.5239616,1.22859,-1.058493
Rprecuneus_4,0.5319363,1.461053,1.376036
