39.659,-62.999,-64.605
-45.039,69.719,54.123
75.107,24.246,56.283
82.057,41.345,38.183
62.168,41.087,64.954
-87.427,-45.858,11.467
-75.597,-64.342,2.5717
-38.188,36.548,-84.089
-66.209,-32.237,-65.936
-52.214,-36.215,-75.604
-59.837,-9.8577,-77.873
-42.055,13.595,-87.939
25.691,-94.378,12.101
37.715,-86.243,-27.454
-2.1681,-98.221,10.416
-1.9491,-97.429,-15.625
5.2929,-87.775,-45.18
-23.815,-95.129,-11.716
-19.353,11.419,-96.516
-23.853,-11.842,-95.612
-23.204,-32.054,-91.078
-23.408,-55.459,-78.593
-91.288,5.0839,29.695
-62.272,-75.646,-14.871
-45.493,-87.259,-13.61
-60.18,-68.187,-39.678
-52.026,-66.559,-49.563
-30.744,-75.567,-55.691
-9.328,85.803,-48.893
26.235,76.927,-56.509
10.664,91.582,-36.45
4.8215,97.242,-20.958
-79.895,-40.495,-42.421
-90.785,-21.822,-33.69
-93.204,-3.1787,-29.946
-14.679,98.096,2.524
-25.65,94.364,-17.559
-34.62,89.54,-25.688
1.3818,-70.66,-69.114
18.017,-47.18,-85.471
10.203,-29.934,-94.003
6.8964,0.3475,-98.552
-73.83,18.249,-62.427
-18.271,-18.637,95.642
-25.482,12.44,94.042
-41.971,-4.663,89.766
79.828,49.901,-28.404
89.962,38.817,-8.4609
39.693,84.768,-32.983
60.286,64.251,-46.165
67.612,68.792,-22.59
-92.496,-34.992,-5.6771
-83.108,-49.675,-21.197
94.617,5.5808,-27.025
96.501,-18.86,9.7386
79.978,-40.75,39.989
48.091,-62.438,58.126
28.84,-43.155,81.969
-57.454,40.272,69.989
-69.022,17.722,68.175
92.824,21.041,-23.235
96.996,15.64,12.726
91.822,-0.3708,37.341
73.73,-4.4296,65.142
43.765,-21.073,85.441
25.722,-0.22305,94.528
-92.197,-28.078,16.599
-87.196,-16.286,42.157
-84.439,-34.773,38.445
-59.414,-49.184,61.281
-49.795,-26.339,79.464
-33.693,90.582,21.701
45.814,71.789,49.576
77.264,59.092,16.764
59.226,75.622,22.776
44.895,87.62,7.4096
21.463,94.954,18.731
27.609,94.833,-9.2949
-7.2432,94.363,28.519
-4.4604,85.915,48.443
-2.1317,73.538,65.019
22.897,62.782,72.604
-15.097,52.348,81.06
-16.853,34.091,90.386
9.5242,19.941,96.813
31.692,34.799,87.262
26.34,-78.234,52.878
-10.356,-59.353,78.48
-19.994,-73.317,62.137
-15.223,-86.97,43.852
-48.523,-76.207,39.524
-43.073,-88.005,16.923
-64.615,-72.464,21.184
69.966,-35.906,-59.961
48.569,-36.184,-78.63
50.13,-12.295,-84.379
41.163,28.612,-84.122
28.173,16.931,-92.958
61.631,-74.116,21.895
63.682,-70.311,-25.89
83.645,-51.808,-3.9729
88.723,-24.684,-34.026
4.6006,99.64,0.61577
-3.3343,41.74,-90.265
68.842,-3.4042,-71.705
76.011,13.131,-62.066
48.533,42.98,-72.24
35.698,61.658,-67.406
